Country_Name,independence,united_nation_members,start_of_week,official_name,common_native_name,currency_code,currency_name,currency_symbol,country_code,capital,region,subregion,languages,area,population,continents,country_name
Saint Vincent and the Grenadines,True,True,monday,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,XCD,Eastern Caribbean dollar,$,++1784,Kingstown,Americas,Caribbean,['English'],389.0,110947,['North America'],Saint Vincent and the Grenadines
Bermuda,False,False,monday,Bermuda,Bermuda,BMD,Bermudian dollar,$,++1441,Hamilton,Americas,North America,['English'],54.0,63903,['North America'],Bermuda
Seychelles,True,True,monday,Republic of Seychelles,Seychelles,SCR,Seychellois rupee,₨,++248,Victoria,Africa,Eastern Africa,"['Seychellois Creole', 'English', 'French']",452.0,98462,['Africa'],Seychelles
British Indian Ocean Territory,False,False,monday,British Indian Ocean Territory,British Indian Ocean Territory,USD,United States dollar,$,++246,Diego Garcia,Africa,Eastern Africa,['English'],60.0,3000,['Asia'],British Indian Ocean Territory
Malta,True,True,monday,Republic of Malta,Malta,EUR,Euro,€,++356,Valletta,Europe,Southern Europe,"['English', 'Maltese']",316.0,525285,['Europe'],Malta
Gambia,True,True,monday,Republic of the Gambia,Gambia,GMD,dalasi,D,++220,Banjul,Africa,Western Africa,['English'],10689.0,2416664,['Africa'],Gambia
Nigeria,True,True,monday,Federal Republic of Nigeria,Nigeria,NGN,Nigerian naira,₦,++234,Abuja,Africa,Western Africa,['English'],923768.0,206139587,['Africa'],Nigeria
Bahamas,True,True,monday,Commonwealth of the Bahamas,Bahamas,BSD,Bahamian dollar,$,++1242,Nassau,Americas,Caribbean,['English'],13943.0,393248,['North America'],Bahamas
South Sudan,True,True,sunday,Republic of South Sudan,South Sudan,SSP,South Sudanese pound,£,++211,Juba,Africa,Middle Africa,['English'],619745.0,11193729,['Africa'],South Sudan
Belize,True,True,monday,Belize,Belize,BZD,Belize dollar,$,++501,Belmopan,Americas,Central America,"['Belizean Creole', 'English', 'Spanish']",22966.0,397621,['North America'],Belize
Liberia,True,True,monday,Republic of Liberia,Liberia,LRD,Liberian dollar,$,++231,Monrovia,Africa,Western Africa,['English'],111369.0,5057677,['Africa'],Liberia
Jamaica,True,True,monday,Jamaica,Jamaica,JMD,Jamaican dollar,$,++1876,Kingston,Americas,Caribbean,"['English', 'Jamaican Patois']",10991.0,2961161,['North America'],Jamaica
Cayman Islands,False,False,monday,Cayman Islands,Cayman Islands,KYD,Cayman Islands dollar,$,++1345,George Town,Americas,Caribbean,['English'],264.0,65720,['North America'],Cayman Islands
Guam,False,False,monday,Guam,Guam,USD,United States dollar,$,++1671,Hagåtña,Oceania,Micronesia,"['Chamorro', 'English', 'Spanish']",549.0,168783,['Oceania'],Guam
Tonga,True,True,monday,Kingdom of Tonga,Tonga,TOP,Tongan paʻanga,T$,++676,Nuku'alofa,Oceania,Polynesia,"['English', 'Tongan']",747.0,105697,['Oceania'],Tonga
Kiribati,True,True,monday,Independent and Sovereign Republic of Kiribati,Kiribati,AUD,Australian dollar,$,++686,South Tarawa,Oceania,Micronesia,"['English', 'Gilbertese']",811.0,119446,['Oceania'],Kiribati
Ghana,True,True,monday,Republic of Ghana,Ghana,GHS,Ghanaian cedi,₵,++233,Accra,Africa,Western Africa,['English'],238533.0,31072945,['Africa'],Ghana
Zimbabwe,True,True,monday,Republic of Zimbabwe,Zimbabwe,ZWL,Zimbabwean dollar,$,++263,Harare,Africa,Southern Africa,"['Chibarwe', 'English', 'Kalanga', 'Khoisan', 'Ndau', 'Northern Ndebele', 'Chewa', 'Shona', 'Sotho', 'Tonga', 'Tswana', 'Tsonga', 'Venda', 'Xhosa', 'Zimbabwean Sign Language']",390757.0,14862927,['Africa'],Zimbabwe
American Samoa,False,False,monday,American Samoa,American Samoa,USD,United States dollar,$,++1684,Pago Pago,Oceania,Polynesia,"['English', 'Samoan']",199.0,55197,['Oceania'],American Samoa
New Zealand,True,True,monday,New Zealand,New Zealand,NZD,New Zealand dollar,$,++64,Wellington,Oceania,Australia and New Zealand,"['English', 'Māori', 'New Zealand Sign Language']",270467.0,5084300,['Oceania'],New Zealand
Anguilla,False,False,monday,Anguilla,Anguilla,XCD,Eastern Caribbean dollar,$,++1264,The Valley,Americas,Caribbean,['English'],91.0,13452,['North America'],Anguilla
